Username,Date,Comment
edwardsiewjunfung,01-03-2024,Product received in good condition & packaging. Strong grip & strong suction. Fitting for iPhone 15 Plus as well. But I thought it was gravity holder without button but I think description mismatch. Still required side lock & push button to unlock.
violette97,25-03-2024,Very fast delivery. Neat and secured packaging. Holder is stable but the sticker to hold is suck. Cannot lasts even 5 minutes on the dashboard
m*****i,24-03-2024,"Stability:Very very stable. Performance:Very very perform.  KAUHIJAU Pemegang Fon Kereta. Very very good product, not flimsy, high quality material. Mantopp!! Very very good nice2 saller, eh seller."
meema7860,16-03-2024,Very good quality product. Seller was very responsive and kept updating about the parcel until received. Responsible seller. Satisfied with the service. The product is solid and sturdy.
shidaradzali,06-03-2024,"Performance:seperti yang dinyatakan dalam description Stability:kukuh dan gam pon kuat  Kualiti bagus, bersesuaian dengan harga, packaging pon baik, barang sampai seperti dijanjikan dan selamat. Recommended!"
cherryhuan,23-02-2024,"Performance:Solid and durable Stability:Stable enough  Good quality product and good value for money too during 12.12 sales, thanks our local seller for the excellent service provided 🙏🏻👏🏻🤝🏻👍🏻"
afqafifi,23-03-2024,"Performance:Okey, not yet tested Stability:Okey, not yet tested  Parcel safely arrived. No defect on the product. Grip tested on 6.67” Poco F2 Pro & 5.4” iPhone 13 Mini w/o their casing. Nampak kukuh tapi tak test on road lagi. Hopefully it works out. Beli 2 untuk Saga & Myvi tapi Myvi terlibat kemalangan. Minta doakan supaya Myvi cepat sihat. Anyways. Thank you. Fast delivery as always."
shikin.,20-03-2024,"kalau boleh bagi 10 ⭐️  dah bagi 10 dah ni. Brand ugreen memang x pernah mengecewakan, tak kira lah product apa pun semua 👍🏻👍🏻👍🏻👍🏻. Sangat kukuh 👍🏻 gam yg melekat tu pun kuat. Really2 recommend lah barang2 ugreen. Terima kasih. Saya beli ya ♥️♥️♥️♥️♥️♥️"
nashrahpirzan,06-03-2024,Stkt ni dh pasang n tgk kualiti mmg suka sgt. Boleh adjust angle pastu bole adjust pjg nk dpn ke blkg. Suction pun kuat. Letak fon pun secure. Nak buka utk msukkn fon just picit button blkg  Edit: bru perasan siap ada 2tahun warranty👍🏻
boyarewin,14-03-2024,"Kualiti produk bagus, harga berpatutan.. penghantaran pantas, layanan penjual baik.. holder cup ugreen ini boleh memuatkan saiz screen phone sehingga 7.12 inci, saya memasukkan phone yg bersaiz screen 6.67 inci dengan memakai casing tebal dan masih ada lagi ruang.. lihat pada gambar yg terakhir"
b*****8,17-03-2024,"Stability:Good build quality  Excellent delivery service on seller’s end- all in all took <2 days from placing order.  Phone holder build quality is great for the price and the ability to adjust its position is more than I can ask for. Once you tighten it, the holder stays in its position.   Only comment for improvement is if the arms of the holder could have better cushioning and hug the phone more snugly but still happy overall for the price I got it at."
x*****0,21-03-2024,Highly recommended seller which will notify you every stage of ur order status. The holder is strong and stable. Most important is it can fit my iPhone 14promax with casing so well!
danielchehmingjitt,13-02-2024,"Stability:very supportive of my handphone Performance:solid  The quality is there, very solid and good to use. No need to worry handphone drop out of the car too"
